LowerCaseToken	Frequency
the	4399
of	4410
and	4132
a	7101
in	11482
to	13290
it	4264
is	4385
was	4030
for	8725
he	3904
be	5120
with	4097
on	11121
that	13871
by	6230
at	4073
are	4072
not	4083
this	4828
but	5361
they	4048
his	5538
from	4020
had	7288
she	3193
which	3953
an	4283
were	3892
their	3895
has	3955
would	3943
will	7239
there	7695
can	5260
all	7452
her	5615
as	15244
who	4371
could	3877
him	3259
into	3901
its	3581
then	3894
up	8543
time	4940
out	5627
so	8057
did	3692
no	8442
other	7420
people	3842
only	9856
new	5341
very	6742
than	3981
because	3730
three	3843
through	7880
too	3648
last	6132
going	4792
after	9607
us	4704
much	7107
see	7179
go	7520
got	7133
life	3333
never	3384
under	5986
over	13611
while	5248
made	9522
different	3517
went	3345
came	3492
children	2742
within	4077
local	3802
during	3306
although	3292
next	3590
case	3490
great	4580
every	3563
party	2719
important	3322
took	3437
before	11742
information	2907
often	3120
fact	3402
taken	3777
company	3758
family	2920
days	3252
come	9353
thought	8999
until	5861
police	1939
saw	3129
knew	2349
ever	3134
door	2174
since	9243
body	2957
book	3002
long	9260
mother	2594
child	2115
woman	2088
help	8193
gave	3026
known	4803
far	6437
became	2688
difficult	3118
report	4846
taking	3902
evidence	2474
looked	5210
morning	2559
sense	3509
seemed	3863
ago	2945
church	2071
yesterday	1467
word	2737
put	12120
everything	2742
early	7231
called	7619
around	9465
patients	809
act	5663
sure	4370
club	1760
trying	3565
private	3084
soon	2739
anyone	2559
goes	2989
students	1508
despite	2360
secretary	2229
security	1947
manager	1684
story	2275
everyone	2454
news	2818
boy	1807
fire	2688
nice	2107
meeting	5049
set	13452
quickly	2595
france	1731
left	12395
director	1763
love	5319
leave	5779
takes	2802
design	2478
husband	1707
turned	5432
teachers	1339
easy	4396
show	7526
plan	4268
blood	1705
film	1649
hard	6285
wrote	1932
statement	1934
president	2136
test	3639
talk	5525
start	7520
brought	6323
daughter	1577
task	2055
doctor	1849
hotel	1831
teacher	1266
ran	1904
light	6236
box	2150
kitchen	1345
run	7972
truth	1947
dog	1324
chair	1626
student	1347
larger	2001
bar	1824
influence	3279
opinion	2085
officer	2253
deal	5003
speaker	954
followed	5239
impossible	2181
carried	5171
message	1835
spoke	1731
stone	1992
sent	4866
entirely	2129
extremely	2045
scene	1765
sister	1547
phone	2086
tv	1066
assessment	1303
dinner	1335
nobody	1656
onto	1520
officials	1112
needed	5599
safe	2484
everybody	1600
absolutely	1887
park	3034
decided	5520
met	4913
rock	1720
widely	1682
colleagues	1462
audience	1308
appeared	4017
player	906
island	1643
driver	1268
eat	2269
belief	1469
conclusion	1613
owner	1325
broke	1817
treated	2866
milk	1202
worked	5317
potential	3914
intention	1587
readers	1102
surprise	2129
sold	3485
protect	2089
criminal	1092
desk	1060
break	4354
customer	1080
won	3350
played	4070
author	1120
agent	1236
sample	1161
patient	1610
crowd	1209
finished	3808
impression	1644
cities	1182
fuel	975
rarely	1558
average	3392
kids	1023
code	1541
guide	2439
judge	2500
married	3788
failed	4212
reputation	1398
dress	1962
bought	3756
kill	1802
notion	1015
caught	3414
drove	1134
victim	1189
supported	2793
newspapers	1200
scientists	805
liked	2407
surprised	2808
defendant	268
captain	1241
citizens	977
confident	1391
whenever	1510
proved	3454
suggestion	1421
helped	4017
emergency	1273
threw	1074
constantly	1408
mentioned	3484
crew	757
assumption	1023
discovered	3136
plaintiff	145
explained	3231
articles	1051
employee	739
nurse	916
appointed	2759
contained	2700
visited	2034
boss	925
loved	2159
remove	1778
principal	1948
proof	1185
yard	1104
encouraged	2643
tenant	316
invited	2584
performed	1826
fans	861
announcement	832
researchers	732
kevin	498
holds	1487
hit	4425
sounded	1353
guest	890
jury	489
lawyer	668
arrested	1425
taught	2015
pleased	2802
confirmed	2489
finish	2259
admission	875
driving	3320
elected	1936
files	826
pointing	1328
declaration	631
scientist	532
farmer	806
actor	605
uncle	937
bother	1384
concert	593
guard	1595
cousin	625
soldier	646
movie	428
servant	651
journalists	657
studied	1996
detective	442
complaint	876
baker	751
engineer	1072
ate	764
tourist	794
launch	1688
producer	654
printer	283
colleague	841
suspicion	944
kid	673
prisoner	599
witness	1333
operator	562
listened	1341
clerk	780
threatened	2400
commander	588
clinic	438
assurance	780
recognized	1554
ignored	2040
impressed	1702
vendor	195
hated	969
historian	471
grandmother	486
stranger	785
attacked	1589
singer	539
hurt	2602
apartment	385
backed	1621
opponent	532
dancing	1426
defender	246
delighted	1683
reporter	450
remark	865
packages	596
confirmation	660
complained	1223
assignment	328
welcomed	1428
rally	690
dean	761
feared	1327
politician	503
photographer	474
tutor	428
bothered	1063
crack	1064
disappointed	1582
surgeon	452
kicked	969
upset	2192
painter	505
rebels	459
bride	433
confused	2025
businessman	528
butler	517
phoned	676
questioned	1217
fix	983
acknowledged	1475
jungle	452
murdered	964
choir	385
disclosure	354
assertion	455
cook	1778
dated	968
captured	1219
scared	896
administrators	377
homework	345
frightened	1702
investor	245
defeated	1106
suspected	1467
librarian	173
jill	227
gardener	318
fired	1253
demonstrators	217
cardboard	450
greeted	970
consulted	841
thief	340
contention	445
administrator	366
deserved	686
criticized	522
shocked	1396
therapist	138
dragon	382
alien	798
runner	355
puzzled	831
marathon	370
headlines	527
blamed	952
attorney	262
censorship	231
coroner	227
contacted	740
shepherd	500
mansion	358
analyst	403
interrupted	949
knight	524
admired	851
banker	317
trainee	301
thanked	482
realization	285
spider	330
chef	311
troubled	1029
sculptures	173
motivated	757
excited	1366
stack	404
philosopher	332
assisted	820
processed	580
pastry	191
warden	333
rescued	606
commanded	527
hired	980
wounded	1037
corrupt	371
